"period","horizon","n","beta_uncond","se_hc1","p_value","r_squared","lambda_pct","half_life","beta_cond","lambda_cond_pct","beta_trimmed","bp_p_value","club_interaction_p"
"Pre-Crisis (2004-2008)",4,153,-0.334060135712502,0.148133798125283,0.0255630700733358,0.0240423268943565,0.336312143188971,206.102335166194,-0.260832047124078,0.262202253089554,-0.335240897069741,0.219595707748176,1.31250718304609e-12
"Recuperation (2008-2013)",5,153,-0.789242116414741,0.138420717027309,6.04875925777515e-08,0.194901345560203,0.805236899931285,86.0799077413238,-0.576570589550751,0.585044692001398,-0.838334374855997,0.115944746140101,0.777479842345267
"Stability (2013-2018)",5,153,-0.213073972863095,0.124485590779269,0.0890169715264201,0.0129538592630667,0.214217112168112,323.572273729459,-0.647977407140348,0.658706655559377,-0.134491198739648,0.97157123704563,0.199514453603638
"Recent (2018-2024)",6,153,0.094657459393996,0.123542005300918,0.444755466400517,0.00291562980189705,NA,NA,-0.0389100749826825,0.0389555656162874,-0.0546498392457303,0.0474896993730522,0.0353292957459175
"Full sample (2004-2024)",20,153,-0.353886740532758,0.0827349302575391,3.34151372017477e-05,0.0815418739045111,0.367034502690765,188.8506871911,-0.568414580862062,0.603402549888909,-0.359584090437027,0.070956626015774,0.00110785448946459
