country_code,country_name,region,income_group,group,developed,population,log_y0_pre_crisis,log_y0_recuperation,log_y0_stability,log_y0_recent,log_y0_full,growth_pre_crisis,growth_recuperation,growth_stability,growth_recent,growth_full,gdp_pc_2004,gdp_pc_2005,gdp_pc_2006,gdp_pc_2007,gdp_pc_2008,gdp_pc_2009,gdp_pc_2010,gdp_pc_2011,gdp_pc_2012,gdp_pc_2013,gdp_pc_2014,gdp_pc_2015,gdp_pc_2016,gdp_pc_2017,gdp_pc_2018,gdp_pc_2019,gdp_pc_2020,gdp_pc_2021,gdp_pc_2022,gdp_pc_2023,gdp_pc_2024
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Emerging,0,42647492,5.824929546003668,6.034637254889591,6.364068653933694,6.315584290000878,5.824929546003668,5.242692722148093,6.588627980882054,-0.9696872786563207,-6.505363172791641,0.5016647681485592,338.637273888197,363.640141436773,367.75831169358,410.757728879097,417.647282647498,488.830652491949,542.871030476037,525.42698276582,568.929021458341,580.603833333096,575.146245808546,565.569730408751,563.872336723147,562.769574140988,553.125151688293,557.861533207459,527.834554499306,408.625855217403,377.665627080705,378.06630312259,374.37669620849
ALB,Albania,Europe & Central Asia,Upper middle income,Emerging,0,2377128,7.850609121509021,8.115515387692694,8.267679934508259,8.495729230969024,7.850609121509021,6.622656654591834,3.043290936311291,4.560985929215319,4.856235417353716,4.682471172506133,2567.29763687121,2712.86983830331,2894.36032580174,3105.8796756386,3345.98161761476,3459.24695646692,3579.82413181046,3677.89457937717,3771.84781862015,3895.89975621942,4045.11934884933,4199.53912925398,4431.55635814168,4648.23078660658,4893.82375538717,5072.43648354739,4980.61699524696,5511.75743402862,5867.65096230557,6204.43525612114,6549.23387415397
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Emerging,0,46814308,8.31048435923574,8.381961011598607,8.421394469109343,8.458929044050583,8.31048435923574,1.7869163090716862,0.7886691502147084,0.7506914988247897,0.17127918742209636,0.793607180300841,4066.28204806495,4223.60252133943,4279.61547120827,4339.25055772831,4367.56538017541,4336.10054052949,4456.6102741643,4501.3543013352,4518.43978956464,4543.23444006767,4634.10149179952,4685.05902729002,4768.73140081027,4742.90075532529,4717.0035885361,4672.66408678635,4363.68533767783,4456.74687637774,4544.46688060372,4660.40545687895,4765.72900168387
AGO,Angola,Sub-Saharan Africa ,Lower middle income,Emerging,0,37885849,7.856832265136817,8.177289737932542,8.22048307178325,8.08544937424001,7.856832265136817,8.011436819893127,0.8638666770141503,-2.7006739508648074,-2.476282880051051,0.4002006815006457,2583.32411461508,2843.39663579921,3065.05576244155,3336.36332465491,3559.19522512538,3494.80724466468,3540.79159568681,3528.16824373698,3682.35229323075,3716.29718727597,3746.81619978931,3641.72893920253,3505.59634681792,3378.07588102598,3246.87857140997,3105.59971242672,2847.24241578243,2788.16737086685,2798.01717317688,2748.95196954248,2798.59392792708
ARG,Argentina,Latin America & Caribbean ,Upper middle income,Emerging,0,45696159,9.240136673356535,9.487771863276931,9.54295482571449,9.477181411867754,9.240136673356535,6.19087974800989,1.10365924875119,-1.3154682769347268,-0.3664471179483109,1.0752895571716001,10302.4465316428,11099.7509190602,11870.2791559298,12811.9021206578,13197.3570267029,12285.3784651865,13387.1553748458,14040.6189124444,13754.4254235596,13946.0950832252,13456.1319159151,13679.6264980954,13265.8860639123,13520.1129846159,13058.3285449954,12706.3978108968,11393.0505957877,12549.2811699342,13276.8232110189,12993.0928872416,12774.3506596628
ARM,Armenia,Europe & Central Asia,Upper middle income,Emerging,0,3033500,7.57825934040802,8.052402172085555,8.09141276658874,8.30098402411806,7.57825934040802,11.853570791938372,0.7802118900636895,4.191425150586414,4.819115678610315,5.059358122133295,1955.22262459229,2240.09273209788,2551.43546358452,2919.3734936373,3141.33193500774,2716.97436280471,2796.08143428043,2943.83687119315,3159.75860786889,3266.29882999873,3393.09252326884,3512.39350276709,3533.88503607007,3815.3747426037,4027.83393010979,4343.45839583019,4032.09043454955,4264.79961505187,4791.00481712183,5197.23509013575,5378.31799981682
AUS,Australia,East Asia & Pacific,High income,Developed,1,27194286,10.820150024274179,10.887386003649693,10.932502339233968,10.981432847810053,10.820150024274179,1.6808994843878575,0.902326711685504,0.9786101715216888,0.7523023673247811,1.0321048278768044,50018.5904483861,50972.640519744,51682.8925230537,52671.325846724,53497.275355342,53430.5274781651,53768.349733441,54296.2321324814,55465.4462872577,55966.1509270561,56571.8062524437,56970.3613028094,57632.9995925594,57991.771347333,58772.7063152213,59181.2997904131,58377.7670517802,59465.535671364,61200.4588964781,61869.082498576,61486.38147544
AUT,Austria,Europe & Central Asia,High income,Developed,1,9177982,10.604933471077446,10.69339531968793,10.688561184309245,10.735343554098822,10.604933471077446,2.2115462152621075,-0.09668270757370186,0.9356473957915605,0.0026268663800413455,0.6528384750208972,40333.3307183894,40989.0131778975,42120.1557002022,43568.8302243941,44063.8642019916,42372.4758254763,43035.4073531933,44146.1956805294,44221.4599530893,43851.3675497404,43838.8345892137,43915.228020857,44362.6702805116,45056.6385912412,45951.5819164034,46550.5622459492,43428.6983137234,45368.6434337368,47332.4240357971,46497.9114640341,45958.8250071261
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Emerging,0,10202830,7.655131796672319,8.471803390201368,8.598956681903728,8.568253041203139,7.655131796672319,20.416789838226226,2.5430658340471672,-0.6140728140117669,1.8397350756616069,5.117526745352576,2111.4533834475,2674.3688564996,3556.83212858133,4412.20326117932,4778.12452736673,5118.43395494687,5300.11048729062,5149.20665913206,5193.17501119552,5425.99559780578,5508.60265612676,5500.50364628486,5272.71817141861,5229.25259993413,5261.92938234432,5346.95318604114,5087.50022783627,5349.58226071425,5599.58524971025,5668.61021317029,5876.03295533913
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Developed,1,1588670,10.072728602374184,10.04876533310278,10.097063370284674,10.088297006286167,10.072728602374184,-0.5990817317851103,0.9659607436378848,-0.17532727997012407,1.2194966606845632,0.443691017765287,23688.1121059225,23439.6704353038,23095.0181330228,23112.4888058398,23127.2148040048,22206.9371985225,22224.0736166249,23288.0449398313,23894.8804447088,24271.6278814506,24135.4991304849,23734.0551143019,23715.2791328712,23606.8867501313,24059.7838641562,24873.6640060134,23586.9309581516,24086.7847803428,25234.40256182,25342.6226641572,25886.2393152311
BGD,Bangladesh,South Asia,Lower middle income,Emerging,0,173562364,6.5548679488008865,6.764413819035702,7.005931311098014,7.2877319680106325,6.5548679488008865,5.238646755870376,4.830349841246268,5.636013138252364,4.72283688485005,5.0811711615037485,702.656357081873,739.203718353409,779.419570444998,825.508229964537,866.45815762135,901.729626251937,943.66422864236,995.579947155662,1050.39140404066,1103.15695907123,1159.40753475981,1224.38647668165,1299.83091360792,1373.75363740186,1462.25050255713,1564.20802445636,1604.6659234742,1702.08028414189,1804.3493461776,1885.37733613545,1941.27874360025
BLR,Belarus,Europe & Central Asia,Upper middle income,Emerging,0,9132629,8.166331184268982,8.55210566583693,8.718570835638193,8.72679153118074,8.166331184268982,9.644362039198706,3.3293033960252645,0.16441391085094287,1.6665602297775408,3.302269803492056,3520.40452642524,3877.71738911289,4291.68647163264,4682.20676719042,5177.64534775676,5200.77418555423,5616.0941173307,5941.68999156239,6052.6373706236,6115.43288098707,6212.91667418659,5967.05595058777,5811.20159182547,5964.89668834561,6165.91320019277,6267.73508743505,6251.98898968645,6457.73053706343,6206.61909685419,6497.78450683592,6814.34443423546
BEL,Belgium,Europe & Central Asia,High income,Developed,1,11858610,10.544728021573649,10.60611236562133,10.596832208325084,10.650373645440041,10.544728021573649,1.5346086011920403,-0.18560314592491528,1.0708287422991458,1.074696371895944,0.8506370309007497,37976.6972967442,38645.2605193362,39371.0858277448,40520.0843207009,40380.9075004042,39293.637546825,39991.5646206286,40236.9596308558,40074.492800399,40007.8997891411,40533.9135027898,40893.804537772,41172.8862831209,41619.328629169,42208.3625650272,43006.4042308863,40769.0218072962,43140.9676652971,44516.002160801,44828.2274521244,45019.6989654607
BEN,Benin,Sub-Saharan Africa ,Lower middle income,Emerging,0,14462724,6.810830671020009,6.849281933084277,6.889997749463516,6.9768190347547705,6.810830671020009,0.9612815516067192,0.8143163275847847,1.7364257058250723,3.5364168626471852,1.8908668774679647,907.624431209378,893.91536869992,900.62053578735,926.740113754071,943.203380303862,936.565651071554,928.246655329144,927.716412836707,943.918771531001,982.399206290516,1014.4330062135,1002.41886879614,1006.03926633023,1032.90471194182,1071.50452156932,1114.17304526443,1126.65404122154,1176.37727637273,1218.49668929091,1263.62158336368,1324.78312597434
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,Emerging,0,12413315,7.649688247863464,7.776220517941462,7.935055785008936,8.072322806138477,7.649688247863464,3.163306751949941,3.176705341349483,2.7453404225908242,-0.8477458784906932,1.8588490278278578,2099.9908107392,2156.18670353603,2221.42722588941,2283.42733535297,2383.25032547517,2422.57579380245,2481.4070083834,2568.52051674406,2657.2388497837,2793.51457124054,2900.90241571477,2996.01289811344,3077.57057582774,3160.16421247588,3204.53670838005,3207.38695231128,2765.09271788602,3011.55110825301,3088.24126173436,3122.77049466223,3045.61476620329
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Emerging,0,3164253,8.027422820047768,8.27614861279719,8.367934600951074,8.586766269783533,8.027422820047768,6.218144818735509,1.8357197630776902,4.376633376649199,3.8346683898945884,3.9471177656472007,3063.83543448936,3217.81341615345,3419.75887457192,3665.08966529499,3929.03297717336,3877.53540078456,3981.20985692032,4094.25329541877,4139.91732773657,4306.73175072214,4412.67617817734,4662.25869219448,4876.53471495633,5099.81602856447,5360.25201017633,5583.29721276458,5490.75366635139,5995.54197590494,6327.16206849174,6493.32400514463,6746.95366547249
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,Emerging,0,2521139,8.58847613664489,8.725607403645729,8.745917426510948,8.83110515087232,8.58847613664489,3.4282816750209966,0.40620045730440124,1.7037544872274322,0.26215882937897744,1.2917927199508514,5369.42516766112,5514.21742664705,5865.00026521361,6085.6354476126,6158.61629368051,5179.4138607146,5584.5034321846,5850.07858575461,5742.91924452636,6284.97678002618,6547.12254115892,6141.20394726616,6490.83463593483,6662.57644805467,6843.84612027739,6951.73189051146,6254.24806241091,6895.91184943107,7159.5860618268,7269.05170664457,6952.34770386661
BRA,Brazil,Latin America & Caribbean ,Upper middle income,Emerging,0,211998573,8.889967304713018,9.027710519473555,9.144920323671,9.07364240569415,8.889967304713018,3.4435803690133873,2.3441960839489178,-1.4255583595370074,1.5400985839862784,1.3804050801015388,7258.78185165912,7409.56913232718,7622.04007133264,8003.25413096047,8330.76459841304,8246.09706995094,8792.63436120342,9067.99316348047,9167.49923929815,9366.73932434359,9338.34278278114,8936.19661712113,8577.84376650911,8628.25308908043,8722.33630317935,8771.44051292177,8435.01143254978,8799.22945810901,9032.08481566299,9288.02701470069,9566.74518687619
BGR,Bulgaria,Europe & Central Asia,High income,Developed,1,6441421,8.486758555144245,8.77416638254398,8.82366009926138,9.011254227063816,8.486758555144245,7.185195684993332,0.9898743343480234,3.7518825560486944,3.5291196721320053,3.681214261237448,4850.11917184577,5231.60538607098,5630.08907245392,6049.05136726418,6465.05231071194,6289.04666609216,6429.04599233108,6605.64616736859,6693.76983060797,6793.08253592745,6941.37319825776,7269.02586513711,7586.89174668116,7899.11056589871,8194.79296320014,8626.5750265742,8440.51416964556,9161.94541759347,9598.35828571579,9787.76510584614,10127.4152566236
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,Emerging,0,23548781,6.161389609580599,6.279405273490241,6.42444969963834,6.543181813870662,6.161389609580599,2.9503915977410533,2.9008885229619956,2.374642284646428,1.5915686354112584,2.386431612073694,474.086412333459,499.192797571217,514.113131757062,519.26101218434,533.471299938288,533.470084831931,561.847221302489,581.603658737407,600.731343697818,616.741331164082,624.576885187665,630.124750752312,648.420480176012,669.276310328333,694.492813126351,717.021595096634,713.8421779224,745.472563435144,740.306319930259,745.405334618409,764.082625588818
BDI,Burundi,Sub-Saharan Africa ,Low income,Emerging,0,14047786,5.553153399918638,5.54522612124208,5.558028565529743,5.589152059911642,5.553153399918638,-0.19818196691395812,0.2560488857532789,0.622469887637969,0.07411077644009954,0.2022265328970502,258.050009115333,250.878933475935,255.105582251925,254.311725516331,256.012461554496,252.582019875886,253.308577749924,254.242110648215,256.180393931874,259.311117203355,261.296721752002,254.402585226788,258.061970804063,261.725839287239,267.508692172687,270.411005710809,263.463876362597,264.682651658422,263.587550049119,264.84330794512,268.700857389911
