Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Pre_Crisis (2004-2008),Recuperation (2009-2013),Stability (2014-2018),Recent (2019-2024),Group
Argentina,ARG,7.92951713016532,7.73898107569444,6.94185160089025,7.93261011269163,3.00856892610517,-6.9103121153056,8.96819672899282,4.88127252804149,-2.0383253093713,1.39351266056681,-3.51326421042003,1.66091253843923,-3.02450095578762,1.91639608148853,-3.41553683867816,-2.69506723533574,-10.3361096878518,10.1485599877349,5.04819532337936,-1.89294979737558,-2.05840275449496,6.710305769109363,1.258868898584844,-1.2751986769916102,-0.29762902732396995,Emerging
Bangladesh,BGD,3.81635685042457,5.20131368672413,5.44042881455881,5.91320275589507,4.96057170242533,4.07076421640669,4.65046297355514,5.501503282369,5.50548020192592,5.02341839695075,5.09905460197942,5.60449539732434,6.16181560014782,5.68710307010265,6.44197494702485,6.97264399779152,2.58647816564581,6.07069417020969,6.00847462887278,4.4907040939439,2.96499837954917,5.066374762005582,4.9503258142415,5.798888723315816,4.848998906002145,Emerging
Brazil,BRA,4.57169367299971,2.07730833836257,2.86752083975395,5.00147015838483,4.09221626720056,-1.0163236214624,6.62782994932327,3.13169854409105,1.09733293821196,2.17333080532316,-0.303163572499983,-4.30639755912077,-4.01012719354725,0.587668928736335,1.09040860447158,0.562970837578547,-3.83550546659214,4.3179316171849,2.64631532411505,2.83370012861097,2.97747909274841,3.7220418553403234,2.4027737230974076,-1.3883221583920176,1.5838152556076228,Emerging
Chile,CHL,5.60291985486168,4.79182839139716,5.01952135827457,4.14386212927862,2.75755699285021,-2.11061042692428,4.79363748014636,5.18104033334399,5.14158431251035,2.32789256098182,0.783002086375433,1.11370445947465,0.52983351729867,-0.235110167425177,2.14988195463914,-0.962096016030856,-6.98113061984451,10.824550522267,1.64877813218645,-0.0196132258928543,2.09415451485827,4.463137745332448,3.066708852011648,0.8682623700725433,1.1007738845905832,Emerging
China,CHN,9.47923943183717,10.8046485485004,12.0472818925694,13.5553663508412,9.10974706584638,8.85990205362064,10.0634243207535,8.86480747550642,7.12701272347094,7.06322465705706,6.78666987945924,6.35855026398104,6.16542718232793,6.24626618729064,6.25861232477357,5.6929006014863,2.09686667315867,8.47322717245602,3.14769982133814,5.52431494678926,5.10662482837367,10.99925665791891,8.395674246081713,6.363105167566483,5.00693900726701,Emerging
Colombia,COL,3.79715867736165,3.37111077766936,5.31174394421016,5.39446786231066,2.04799051810861,-0.0317051022677077,3.31434936742798,5.80823503363762,2.87569627540904,4.14129387844136,3.5703066542077,2.06923227113727,1.08114925712198,-0.101221554133033,0.695264947238812,1.36014067984289,-8.50949477621059,9.5929782838861,6.18779953705864,-0.410230298426796,0.656437667018352,3.9844943559320876,3.2215738905296583,1.462946315114546,1.4796051821947662,Emerging
Dominican Republic,DOM,1.18538383413113,8.00660714348427,7.81376318948548,6.11794398001162,2.00088270726057,-0.268926599782176,7.02231182986095,1.89038252427819,1.50210074555162,3.66423400861591,5.84760695663518,5.76452490966611,5.54040978660888,2.80931921775627,5.95314205477773,3.81572682273033,-8.88467221699831,12.8319080410071,4.2328919676722,1.28564825764879,4.06734260475076,5.024916170874614,2.7620205017048987,5.183000585088833,2.8914742461351453,Emerging
"Egypt, Arab Rep.",EGY,1.96524683873078,2.38032461797421,4.77751297935043,5.0854672784842,5.17381069878276,2.7155259206418,3.14977851168294,-0.354646267702748,-0.0429670178954922,-0.14323388107762,0.599558564006458,2.20415858015615,2.24497375649698,2.12015477172733,3.35166753247044,3.71584088573542,1.88111975917718,1.76220484283698,5.01555864991792,2.02315842412948,0.639636335125445,3.876472482664476,1.064891453129776,2.1041026409714716,2.506253149487071,Emerging
Ethiopia,ETH,10.2218151050029,8.55089862654785,7.62653694769971,8.23770707847243,7.62786742706325,5.75638559712183,9.40434487750386,8.06141676115676,5.64374376775028,7.61661454527255,7.33861859185406,7.46807676647016,6.50991456114522,6.61862070026751,3.97407545942133,5.48664148021712,3.22311599492807,2.85565763078523,2.59539967644373,3.85475025230436,4.57966778910016,8.452965036957227,7.2965011097610555,6.381861215831655,3.7658721372964448,Emerging
Ghana,GHA,2.83982995857866,3.15861099530474,3.66950804093835,1.69171777527903,6.41466992518754,2.26068893513001,5.30617508163762,11.3370417824575,6.67974740594653,4.75796338524816,0.452244093941871,-0.208325820413904,1.04704406736222,5.78094585817396,4.01895338314475,4.39063133478864,-1.46830801654092,3.03800270044563,1.8305124767942,1.19022304172192,3.72174298776767,3.554867339057664,6.068323318083964,2.2181723164417795,2.11713408749619,Emerging
Hungary,HUN,5.19581258967388,4.50792078649896,4.09589996478341,0.487904817715162,1.17042884387347,-6.59558642753552,1.2966366075499,2.2059103447462,-0.828646515876528,2.52439305270235,4.75555169835647,4.03310873929586,2.83749039789862,4.47743568209606,5.82146361803679,5.2087641343076,-4.09730738033811,7.66253175353751,4.55105571139856,-0.709301494098696,0.826299202563348,3.091593400508976,-0.27945858768271953,4.38501002713676,2.2403403212283686,Emerging
Indonesia,IDN,3.7043674512371,4.3443558422024,4.11201890218061,4.94958392275811,4.64721758277069,3.31160021271401,4.89326246908787,4.82294276512758,4.67540374198676,4.25603923226443,3.77968595157438,3.70583428895539,3.91054275495577,4.00109865179923,4.15930013909383,4.0413041818536,-2.89423403981894,2.97476192227879,4.52447576618876,4.16753001019646,4.1790017564892,4.351508740229781,4.39184968423613,3.9112923572757197,2.8321399328646444,Emerging
